Alt,Bar,Fri,Hun,Pat,Price,Rain,Res,Type,Est,WillWait
Tr,Fa,Fa,Tr,Some,$$$,Fa,Tr,French,zero,Tr
Tr,Fa,Fa,Tr,Full,$,Fa,Fa,Thai,thirty,Fa
Fa,Tr,Fa,Fa,Some,$,Fa,Fa,Burger,zero,Tr
Tr,Fa,Tr,Tr,Full,$,Fa,Fa,Thai,ten,Tr
Tr,Fa,Tr,Fa,Full,$$$,Fa,Tr,French,sixty,Fa
Fa,Tr,Fa,Tr,Some,$$,Tr,Tr,Italian,zero,Tr
Fa,Tr,Fa,Fa,None,$,Tr,Fa,Burger,zero,Fa
Fa,Fa,Fa,Tr,Some,$$,Tr,Tr,Thai,zero,Tr
Fa,Tr,Tr,Fa,Full,$,Tr,Fa,Burger,sixty,Fa
Tr,Tr,Tr,Tr,Full,$$$,Fa,Tr,Italian,ten,Fa
Fa,Fa,Fa,Fa,None,$,Fa,Fa,Thai,zero,Fa
Tr,Tr,Tr,Tr,Full,$,Fa,Fa,Burger,thirty,Tr
